transaction_id,timestamp,sender_id,receiver_id,transaction_type,merchant_category,amount,status,city,device_type,is_fraud
TXN114877,2025-01-01 00:44:09,USR13223,MER1180,Wallet,Shopping,1160.54,Success,Ahmedabad,iOS,0
TXN109172,2025-01-01 02:49:06,USR11049,MER1468,UPI,Travel,2464.93,Success,Lucknow,Android,0
TXN117225,2025-01-01 03:03:56,USR18401,MER1299,UPI,Shopping,1392.08,Success,Delhi,Android,0
TXN118927,2025-01-01 04:45:25,USR11806,MER1317,UPI,Fuel,514.76,Success,Bengaluru,Android,0
TXN101479,2025-01-01 06:00:45,USR16066,MER1034,Card,Entertainment,87.33,Success,Chennai,Web,0
TXN124633,2025-01-01 06:30:33,USR11770,MER1250,Wallet,Travel,6601.61,Success,Bengaluru,Android,0
TXN115672,2025-01-01 06:30:52,USR13806,MER1064,UPI,Entertainment,442.58,Success,Pune,Android,0
TXN112791,2025-01-01 06:52:29,USR10294,USR19050,UPI,P2P Transfer,666.58,Success,Delhi,Android,0
TXN106030,2025-01-01 07:04:13,USR17639,MER1456,UPI,Fuel,1460.24,Success,Kolkata,iOS,0
TXN107003,2025-01-01 07:15:31,USR15158,MER1000,UPI,Recharge,114.06,Success,Ahmedabad,Android,0
TXN108459,2025-01-01 07:42:00,USR16466,MER1234,UPI,Food Delivery,344.85,Success,Pune,Android,0
TXN119572,2025-01-01 07:50:07,USR12060,MER1443,Netbanking,Grocery,195.01,Success,Jaipur,Android,0
TXN111784,2025-01-01 08:20:03,USR12480,MER1343,UPI,Insurance,156.82,Success,Ahmedabad,iOS,0
TXN100273,2025-01-01 08:57:38,USR11538,USR13408,Card,P2P Transfer,1673.77,Success,Jaipur,Android,0
TXN108192,2025-01-01 09:04:58,USR13150,MER1142,UPI,Bill Payment,2061.4,Success,Chennai,Web,0
TXN112773,2025-01-01 09:32:59,USR10590,MER1224,UPI,Grocery,76.09,Success,Mumbai,Android,0
TXN109711,2025-01-01 09:49:12,USR10501,MER1096,UPI,Bill Payment,411.46,Success,Hyderabad,iOS,0
TXN116581,2025-01-01 10:03:45,USR11000,MER1051,Wallet,Grocery,42.23,Success,Pune,Android,0
TXN118127,2025-01-01 10:17:54,USR10614,MER1478,Wallet,Entertainment,340.08,Success,Jaipur,Android,0
TXN104744,2025-01-01 10:43:54,USR15043,MER1286,Wallet,Shopping,687.27,Success,Delhi,Android,0
TXN102933,2025-01-01 10:46:03,USR17092,MER1175,UPI,Recharge,260.84,Success,Chennai,Android,0
TXN108277,2025-01-01 11:03:02,USR13625,MER1466,Wallet,Travel,660.24,Success,Jaipur,iOS,0
TXN104257,2025-01-01 11:16:48,USR15580,MER1167,UPI,Shopping,281.31,Success,Hyderabad,Web,0
TXN122720,2025-01-01 11:31:38,USR11741,MER1076,Card,Insurance,533.24,Success,Lucknow,Android,0
TXN106692,2025-01-01 11:43:12,USR19772,MER1341,UPI,Food Delivery,531.36,Success,Kolkata,Android,0
TXN104218,2025-01-01 12:17:07,USR11922,MER1450,UPI,Travel,441.34,Success,Hyderabad,Android,0
TXN122721,2025-01-01 12:47:07,USR14236,MER1137,Card,Insurance,123.59,Success,Lucknow,Android,0
TXN113107,2025-01-01 13:51:46,USR14452,USR10736,Card,P2P Transfer,120.95,Success,Mumbai,iOS,0
